geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
cod,"Congo, Dem. Rep.",,,,,,,0.00011,0.00021,0.00041,0.00101,0.0059,0.01148,0.09279,0.13491,0.19621,0.238,0.2961,0.37,0.44,0.56,0.72,1.2,1.68,2.2,3,3.8,10.1,,11.7,13.0297,14.5105,16.1596,17.9962,18.9679,19.6735,
cog,"Congo, Rep.",,,,,,,0.00353,0.00347,0.00342,0.0168,0.02635,0.03222,0.15725,0.46001,1.0775,1.4634,2.008,2.7597,4.28751,4.5,5,5.6,6.1067,6.6,7.11,7.616,8.1219,8.65,11.8071,16.1164,21.9985,30.0274,40.9867,43.1504,47.2516,
col,Colombia,,,,,0.107,0.188,0.33,0.551,1.13,1.7,2.20753,2.8542,4.6,7.38892,9.11869,11.00726,15.34167,21.8,25.6,30,36.5,40.35092,48.98,51.7,52.56814,55.90497,58.13649,62.25988,64.12638,65.0069,69.79533,73.02837,72.79638,77.33686,79.34543,
com,Comoros,,,,,,,,,0.0379,0.148,0.27174,0.44307,0.55487,0.84819,1.32733,2,2.2,2.5,3,3.5,5.1,5.5,5.9753,6.5,6.98,7.4592,7.9383,8.4782,,16.3838,22.4204,30.6812,31.3741,31.9275,32.5175,
cpv,Cape Verde,,,,,,,,0.241,0.473,1.16,1.82244,2.68533,3.51876,4.32489,5.31883,6.07409,6.80891,8.28322,14,21,30,32,34.74,37.5,40.26,42.68301,50.32282,57.16215,59.5,61.9434,69.3734,70.2825,73.3274,74.5992,74.7352,
cri,Costa Rica,,,0.00111,0.0815,0.28,0.417,0.841,1.64,2.67,3.9,5.80025,9.55948,19.89485,20.33361,20.79231,22.07,25.1,28.4,32.29,34.33,36.5,39.2122,47.5,45.96,53,59.76295,65.88045,71.58166,73.47973,81.2026,80.53019,82.74902,82.59801,85.39515,87.1702,
cub,Cuba,,,,,,0.00009,0.0319,0.0682,0.227,0.315,0.54118,1.07975,3.77059,5.24127,8.40798,9.73806,11.1596,11.69,12.94,14.33,15.9,16.01729,21.2,27.93,29.07018,37.3051,42.97868,57.1484,62.67892,67.97081,71.11908,67.64355,67.8841,69.5558,70.477,
cyp,Cyprus,,,0.0501,0.0564,0.111,0.41,0.673,4.38,8.89,11.3,15.25539,18.81876,28.32,30.09,33.83,32.81,35.83,40.77,42.31,49.81,52.99,56.85989,60.68987,65.4548,69.3287,71.71574,75.90021,80.74319,84.43358,86.06363,90.80195,90.75952,89.60099,91.2211,89.60099,
cze,Czech Republic,,,,0.581,1.26,1.45,1.94,2.92,3.9,6.83,9.78053,14.69717,23.93,34.3,35.5,35.27,47.93,51.93,62.97,64.43,68.82,70.49,73.43001,74.1104,74.23171,75.66884,76.4812,78.71917,80.68817,80.86694,81.3389,82.67062,84.54009,85.99405,87.68776,
deu,Germany,0.126,0.25,0.435,0.464,0.923,1.84,3.05,6.71,9.88,20.8,30.21635,31.65094,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.27,82.35,84.17,86.1937,87.5898,84.16521,84.39415,87.03711,88.13452,89.81294,91.43061,91.62984,92.47638,93.5,
dji,Djibouti,,,,,,0.016,0.0312,0.0829,0.0947,0.106,0.1945,0.34353,0.48697,0.62594,0.78132,0.9536,1.27,1.62,2.26,4,6.5,7,9.4,12.7,17,22.9,30.8,55.68141,57.0617,58.4762,59.9257,61.4112,63.776,64.7587,65.2989,
dma,Dominica,,,,,,0.549,1.17,,2.93,2.93,8.81484,13.24523,18.42489,23.62042,30.31961,38.5436,39.3982,40.2745,41.16,42.02,47.45,48.6,49.8,51,57.5,65,67.03,69.6197,,73.382,75.6567,78.0795,80.5798,81.3365,82.0469,
dnk,Denmark,0.0973,0.194,0.387,0.578,1.34,3.83,5.71,11.4,22.7,30.6,39.17243,42.95752,64.25,76.26,80.93,82.74,86.65,85.03,85.02,86.84,88.72,89.81001,92.26001,94.6297,95.99351,96.3305,96.96779,97.09936,97.3192,98.04643,96.54915,98.86585,97.86012,98.77559,99.76915,
dom,Dominican Republic,,,,,,0.0172,0.075,0.143,0.234,1.1,3.70469,4.42939,6.82373,7.89839,8.86555,11.4832,14.84493,17.66,20.82,27.72,31.4,38,42.32,45.9,49.58,54.21577,63.87086,67.57125,74.82205,79.7155,81.6173,85.24299,81.5127,86.1269,91.00224,
